group,novelty_mean,novelty_median,novelty_std,novelty_min,novelty_max,uncertainty_mean,uncertainty_median,uncertainty_std,uncertainty_min,uncertainty_max,task_relevance_mean,task_relevance_median,task_relevance_std,task_relevance_min,task_relevance_max,temporal_importance_mean,temporal_importance_median,temporal_importance_std,temporal_importance_min,temporal_importance_max,resource_cost_mean,resource_cost_median,resource_cost_std,resource_cost_min,resource_cost_max,raw_voi_score_mean,raw_voi_score_median,raw_voi_score_std,raw_voi_score_min,raw_voi_score_max,voi_score_mean,voi_score_median,voi_score_std,voi_score_min,voi_score_max
train,0.16797685880193902,0.08045278862118721,0.18436843386132293,0.0,1.0,0.018621587428824936,1.8364431184636487e-06,0.08033203871988509,5.030167948838482e-11,0.63228839635849,0.7459885553847819,0.8999999761581421,0.355633568583425,0.10000000149011612,1.0,0.5314963200164666,0.49100473523139954,0.18940541519343854,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.36822787761777864,0.3959210407900627,0.17546968181527955,-0.013343565647637598,0.7645084738756535,0.36823585948778853,0.3959210407900627,0.17545274658293275,0.0,0.7645084738756535
val,0.16837081727180553,0.08084869012236595,0.18510476072225246,0.0,0.9613110423088074,0.017767506565551854,1.920916702147224e-06,0.07769071985228414,5.030167948838482e-11,0.7004538774490356,0.7458722119715797,0.8999999761581421,0.35599848053313554,0.10000000149011612,1.0,0.531255099313242,0.4919135272502899,0.1889282541858554,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.3682143967803093,0.3968747422455635,0.175988005226013,-0.01285179848811318,0.7529017865682958,0.3682193914115157,0.3968747422455635,0.17597745377475202,0.0,0.7529017865682958
test,0.1692144879131179,0.07997459545731544,0.18734850236642905,0.0,0.9757217764854431,0.017768981568413608,1.7422033806724357e-06,0.0780303106253068,5.030167948838482e-11,0.6741529107093811,0.7458210474964011,0.8999999761581421,0.3561558524142599,0.10000000149011612,1.0,0.5325272429683312,0.4919959306716919,0.19018593069550913,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.36870409288755135,0.39558416603055513,0.17627118985587045,-0.010868782521501086,0.7572250068212864,0.36871051067762906,0.39558416603055513,0.17625763582565163,0.0,0.7572250068212864
test_class_0_Healthy,0.038729263823322195,0.039324384182691574,0.01619611744011778,0.0,0.10085152089595795,0.018670763084231812,1.28646371333474e-09,0.0771044590354908,5.030167948838482e-11,0.6367289423942566,0.1088539788467203,0.10000000149011612,0.057242021522949674,0.10000000149011612,0.9500607252120972,0.445320555418134,0.43482574820518494,0.12331332325805876,0.0,0.7040479779243469,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.08922380319897584,0.08902952626026703,0.03214018082490569,-0.010868782521501086,0.3859409749507904,0.08925162407662042,0.08902952626026703,0.03205975629045108,0.0,0.3859409749507904
test_class_1_Inner_Race_Fault,0.16766180982233578,0.13825822621583939,0.11395894500761525,0.02302408404648304,0.6673966646194458,0.03355947089964536,0.0011897943913936615,0.10496879116675432,5.030167948838482e-11,0.6741529107093811,0.9816386586239547,0.9999841451644897,0.09538021366473383,0.10148041695356369,1.0,0.558678807656512,0.5139606297016144,0.1707908463881915,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.45679429075915823,0.4483527045696974,0.07521810231803702,0.07144650910049677,0.6997274816061375,0.45679429075915823,0.4483527045696974,0.07521810231803702,0.07144650910049677,0.6997274816061375
test_class_2_Outer_Race_Fault,0.24154958960787454,0.08915363252162933,0.24005453652189718,0.03870394080877304,0.9757217764854431,0.004387171455739346,1.3023000633438642e-07,0.041982659436398805,5.030167948838482e-11,0.6304673552513123,0.900228076672802,0.8999999761581421,0.005642802792797014,0.7458271980285645,0.9997950196266174,0.5586745631758249,0.464464396238327,0.21893803357478486,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.44900745714358364,0.38199718624549917,0.1133610008645076,0.2775267950841226,0.7572250068212864,0.44900745714358364,0.38199718624549917,0.1133610008645076,0.2775267950841226,0.7572250068212864
