epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.230365514755249,1.1429709196090698,0.3322281241416931,0.8004925847053528
2,0.9312154650688171,0.6912951469421387,0.5669761300086975,0.8571428656578064
3,0.5130560398101807,0.49833670258522034,0.7606101036071777,0.7142857313156128
4,0.32757607102394104,0.2084224373102188,0.9118037223815918,1.0
5,0.1662018746137619,0.09898386895656586,0.959549069404602,1.0
6,0.064781054854393,0.0342489555478096,0.9980106353759766,1.0
7,0.032120175659656525,0.013059108518064022,0.9993368983268738,1.0
8,0.019952697679400444,0.006350532174110413,0.9993368983268738,1.0
9,0.01477211806923151,0.010637570172548294,0.9993368983268738,1.0
10,0.016913415864109993,0.0026771302800625563,0.9973474740982056,1.0
11,0.005920975003391504,0.001787269487977028,1.0,1.0
12,0.00415804423391819,0.0011362533550709486,1.0,1.0
13,0.0043258341029286385,0.0029980423860251904,1.0,1.0
14,0.0035155906807631254,0.0008231456740759313,1.0,1.0
15,0.0024850114714354277,0.001450252952054143,1.0,1.0
16,0.0049219452776014805,0.0011125972960144281,0.9993368983268738,1.0
17,0.0021509267389774323,0.0007525965920649469,1.0,1.0
18,0.0028840117156505585,0.00037825960316695273,1.0,1.0
19,0.002509969985112548,0.0003638767811935395,1.0,1.0
20,0.0010254168882966042,0.00018044046009890735,1.0,1.0
21,0.0010000508045777678,0.00018332428589928895,1.0,1.0
22,0.000876004749443382,0.00013691058848053217,1.0,1.0
23,0.0009106223587878048,0.0001366504147881642,1.0,1.0
24,0.0006522521143779159,0.0001005570447887294,1.0,1.0
25,0.0006132629350759089,9.265400876756757e-05,1.0,1.0
