scenario,n,mean_voi_score,DISCARD_pct,BUFFER_pct,SUMMARY_pct,TRANSMIT_pct
default (current VoIWeights/PolicyThresholds),406,0.5427531636731818,14.29,0.99,70.69,14.04
lower TRANSMIT threshold to 0.50,406,0.5427531636731818,14.29,0.0,0.99,84.73
lower TRANSMIT threshold to 0.60,406,0.5427531636731818,14.29,0.0,43.1,42.61
"zero-out uncertainty weight, redistribute to novelty+relevance",406,0.4593961805839256,14.29,41.87,43.84,0.0
zero-out communication cost weight,406,0.4077913941820764,14.29,71.67,14.04,0.0
double task_relevance weight (renormalised),406,0.4372394876887599,14.29,43.6,42.12,0.0
