group,novelty_mean_contribution,novelty_share_of_positive_contribution_pct,novelty_corr_with_voi_score,uncertainty_mean_contribution,uncertainty_share_of_positive_contribution_pct,uncertainty_corr_with_voi_score,task_relevance_mean_contribution,task_relevance_share_of_positive_contribution_pct,task_relevance_corr_with_voi_score,temporal_importance_mean_contribution,temporal_importance_share_of_positive_contribution_pct,temporal_importance_corr_with_voi_score,resource_cost_mean_contribution,resource_cost_corr_with_voi_score
train,0.20625927000574687,32.54,0.9326878747094296,2.7215285052198296e-05,0.0,-0.013782718918809087,0.30423100981490797,48.0,0.9470299840513836,0.12334264912877223,19.46,0.7661528808299582,-0.050491517782211295,0.0
val,0.191785091542816,33.03,0.9753334455962392,3.0191910218365093e-05,0.01,0.08283655583358553,0.28500028255170784,49.09,0.9567040877032192,0.1037709174668554,17.87,0.8064600377261487,-0.05049151778221128,0.0
test,0.1899375791367016,32.02,0.9522273435439141,4.3529464912043734e-05,0.01,0.04876555232441627,0.2850001814807283,48.05,0.983607998254473,0.11813497700421094,19.92,0.8123381866813504,-0.05049151778221128,0.0
