group,novelty_mean_contribution,novelty_share_of_positive_contribution_pct,novelty_corr_with_voi_score,uncertainty_mean_contribution,uncertainty_share_of_positive_contribution_pct,uncertainty_corr_with_voi_score,task_relevance_mean_contribution,task_relevance_share_of_positive_contribution_pct,task_relevance_corr_with_voi_score,temporal_importance_mean_contribution,temporal_importance_share_of_positive_contribution_pct,temporal_importance_corr_with_voi_score,resource_cost_mean_contribution,resource_cost_corr_with_voi_score
train,0.050393057640581704,12.04,0.7496801467043593,0.0009310793714412469,0.22,-0.0835625998308261,0.2610959943846737,62.36,0.8818160552819116,0.10629926400329334,25.39,0.6488395200047004,-0.05049151778221128,0.0
val,0.05051124518154165,12.06,0.7498662082329816,0.000888375328277593,0.21,-0.0840026168769207,0.2610552741900529,62.35,0.8822843989220157,0.10625101986264843,25.38,0.6547699447070493,-0.050491517782211295,0.0
test,0.05076434637393537,12.11,0.7496517675304362,0.0008884490784206802,0.21,-0.08213730464786274,0.2610373666237404,62.27,0.879754358987325,0.10650544859366622,25.41,0.6517910997783484,-0.05049151778221129,0.0
