run_id,bearing_id,role,split,n,novelty_mean,novelty_median,novelty_std,novelty_min,novelty_max,temporal_importance_mean,temporal_importance_median,temporal_importance_std,temporal_importance_min,temporal_importance_max,resource_cost_mean,resource_cost_median,resource_cost_std,resource_cost_min,resource_cost_max
1st_test,3,documented_failure,initial,4310,0.5169271230697632,0.5989235639572144,0.23604702949523926,0.0,1.0,0.6091618508264576,0.6357104001248596,0.05965454978048468,0.0,0.7210658503138094,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,3,documented_failure,adaptation,12940,0.6819711923599243,0.6782400608062744,0.10869155079126358,0.32391682267189026,1.0,0.6505108755750661,0.6499053382637814,0.021811128068450515,0.5795419772615181,0.7369550545301232,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,3,documented_failure,test,4310,0.9069302082061768,0.9864062070846558,0.11723097413778305,0.4632466435432434,1.0,0.7454662262052445,0.7154998867771509,0.09195888753081578,0.6077293582262023,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,4,documented_failure,initial,4310,0.21430830657482147,0.22214722633361816,0.09530061483383179,0.0,1.0,0.5818365320277491,0.5991794086367008,0.06797435414099912,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,4,documented_failure,adaptation,12940,0.31019914150238037,0.25898051261901855,0.1621478796005249,0.09189002215862274,1.0,0.6633195809130209,0.629071106522032,0.09841028101423636,0.5236746488612375,1.0,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,4,documented_failure,test,4310,0.9109437465667725,0.9466305375099182,0.09936624020338058,0.5603606700897217,1.0,0.9994787324810979,1.0,0.004005078547081261,0.9161892657781815,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,1,control,initial,4310,0.483258455991745,0.48344141244888306,0.16304060816764832,0.0,1.0,0.5607922112068483,0.5613381648991991,0.05750988341534128,0.0,0.7863040885942811,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,1,control,adaptation,12940,0.6262980699539185,0.6242814064025879,0.1324457824230194,0.21080738306045532,1.0,0.6211323279899045,0.6176522729123866,0.03769609347616621,0.5050649305637004,0.8635978499690584,0.5049152374267578,0.504915177822113,0.0,0.504915177822113,0.504915177822113
1st_test,1,control,test,4310,0.7185724973678589,0.7132920622825623,0.1369078904390335,0.3266625702381134,1.0,0.6585976789582437,0.6514582566693308,0.04452170265701876,0.5586447205238679,0.8948446985212083,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
2nd_test,1,documented_failure,initial,1960,0.4827786684036255,0.4806098937988281,0.15791690349578857,0.0,1.0,0.5829905443624366,0.5800527114035829,0.03015049336272848,0.0,0.7257282574348937,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113
