split,mean_score,min_score,max_score,std_score
train,0.6875309348106384,0.0,1.0,0.24010062217712402
val,0.6392835974693298,0.00037831091322004795,0.9779735803604126,0.29212936758995056
test,0.6331251859664917,0.0,0.9223936796188354,0.2835230231285095
test_class_0_Normal,0.004406659863889217,0.0,0.014032700099050999,0.003372268285602331
test_class_1_Inner_Race_Fault,0.8827382326126099,0.8204975724220276,0.9223936796188354,0.01895545795559883
test_class_2_Ball_Fault,0.5699275732040405,0.514134407043457,0.615342378616333,0.02304000034928322
test_class_3_Outer_Race_Fault,0.7610692381858826,0.7270979285240173,0.788246750831604,0.011788230389356613
