split,mean,median,min,max,std
train,0.7459885478019714,0.8999999761581421,0.10000000149011612,1.0,0.35563355684280396
val,0.7458721995353699,0.8999999761581421,0.10000000149011612,1.0,0.3559984862804413
test,0.7458210587501526,0.8999999761581421,0.10000000149011612,1.0,0.3561558425426483
test_class_0_Healthy,0.10885398089885712,0.10000000149011612,0.10000000149011612,0.9500607252120972,0.0572420209646225
test_class_1_Inner_Race_Fault,0.9816386699676514,0.9999841451644897,0.10148041695356369,1.0,0.09538021683692932
test_class_2_Outer_Race_Fault,0.9002280235290527,0.8999999761581421,0.7458271980285645,0.9997950196266174,0.00564280292019248
