split,mean,median,min,max,std
train,0.000544305716175586,0.00024311422021128237,1.1117460019249847e-07,0.05256953835487366,0.0018428198527544737
val,0.0006038382416591048,0.00023042052634991705,1.7839754207216174e-07,0.015722379088401794,0.001371497637592256
test,0.0008705892832949758,0.00026258022990077734,1.1210938737349352e-06,0.028487881645560265,0.0026947124861180782
test_class_0_Normal,4.877950777881779e-05,4.823022391065024e-05,3.8506939745275304e-05,5.799433711217716e-05,4.279870609025238e-06
test_class_1_Ball_Fault,1.2059260370733682e-05,7.7229124144651e-06,1.1210938737349352e-06,0.00013389144442044199,1.4758760698896367e-05
test_class_2_Inner_Race_Fault,0.002443049568682909,0.0006576929008588195,0.00015860400162637234,0.028487881645560265,0.004646811634302139
test_class_3_Outer_Race_Fault,0.0005675641004927456,0.00046194405877031386,0.0001773592666722834,0.003945421427488327,0.0004276202816981822
