group,novelty_mean,novelty_median,novelty_std,novelty_min,novelty_max,uncertainty_mean,uncertainty_median,uncertainty_std,uncertainty_min,uncertainty_max,task_relevance_mean,task_relevance_median,task_relevance_std,task_relevance_min,task_relevance_max,temporal_importance_mean,temporal_importance_median,temporal_importance_std,temporal_importance_min,temporal_importance_max,resource_cost_mean,resource_cost_median,resource_cost_std,resource_cost_min,resource_cost_max,raw_voi_score_mean,raw_voi_score_median,raw_voi_score_std,raw_voi_score_min,raw_voi_score_max,voi_score_mean,voi_score_median,voi_score_std,voi_score_min,voi_score_max
train,0.6875309000191562,0.755145400762558,0.2401802786508823,0.0,1.0,0.0005443057010439659,0.00024311422021128237,0.001843431058012109,1.1117460019249847e-07,0.05256953835487366,0.8692314566140229,0.9000006318092346,0.22670366506484504,0.10000325739383698,1.0,0.6167132456438611,0.6744822859764099,0.2990101575473799,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.583368626452268,0.6112464350640949,0.18816424694769135,-0.015008532075808038,0.7977176305893167,0.5834120486579389,0.6112464350640949,0.18802868830210964,0.0,0.7977176305893167
val,0.6392836384760535,0.7429430484771729,0.29248980728691676,0.00037831091322004795,0.9779735803604126,0.0006038382043673019,0.00023042052634991705,0.0013731898036350733,1.7839754207216174e-07,0.015722379088401794,0.8142865215763083,0.9000003337860107,0.2952163031432265,0.10000315308570862,1.0,0.518854587334277,0.4500122517347336,0.3038404135196709,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.5300949656893864,0.5802313469757792,0.2334485568734196,-0.015101076478640618,0.7929005672313102,0.5301474864876757,0.5802313469757792,0.23332774269057774,0.0,0.7929005672313102
test,0.6331252637890054,0.7527919113636017,0.28387284906343696,0.0,0.9223936796188354,0.0008705892982408747,0.00026258024445269257,0.002698037118095756,1.1210938737349352e-06,0.028487881645560265,0.814286232802081,0.8999999761581421,0.2952161839964612,0.10000313073396683,1.0,0.5906748850210547,0.7442541122436523,0.29277812512757007,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.5426247493043416,0.5902056902938057,0.23029986830119165,-0.01298624673745509,0.7669768613670612,0.5427531636731818,0.5902056902938057,0.22999515905349693,0.0,0.7669768613670612
test_class_0_Normal,0.004406659862007504,0.004026083741337061,0.003401720842173148,0.0,0.014032700099050999,4.8779515682013125e-05,4.823022391065024e-05,4.317250326618459e-06,3.8506939745275304e-05,5.799433711217716e-05,0.10000404150321565,0.10000398382544518,3.853086344030323e-07,0.10000313073396683,0.10000486671924591,0.06757146993587757,0.06889236345887184,0.009085656489325319,0.0,0.07087183743715286,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,-0.0006513723345239656,-0.0005678916202669047,0.001922905276771985,-0.01298624673745509,0.0022447528965130886,0.00024752824735734197,0.0,0.0005230027385965001,0.0,0.0022447528965130886
test_class_1_Inner_Race_Fault,0.8827381971581229,0.8841702938079834,0.01903769373481498,0.8204975724220276,0.9223936796188354,1.2059261467419643e-05,7.7229124144651e-06,1.4822790348696846e-05,1.1210938737349352e-06,0.00013389144442044199,0.999999879249211,0.9999999403953552,1.6683028040811342e-07,0.9999984502792358,1.0,0.7006982531526993,0.4381948560476303,0.2993116451383606,0.0,1.0,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.7044701526960628,0.6614506462003021,0.05672216936750977,0.5566500941559752,0.7669768613670612,0.7044701526960628,0.6614506462003021,0.05672216936750977,0.5566500941559752,0.7669768613670612
test_class_2_Ball_Fault,0.5699275603582119,0.5693390071392059,0.0231399559624903,0.514134407043457,0.615342378616333,0.0024430494099917646,0.000657692871754989,0.00466697170623463,0.00015860400162637234,0.028487881645560265,0.8999999417313214,0.8999999761581421,4.4396812664893783e-07,0.8999985456466675,0.9000013470649719,0.7365149567867147,0.7495934367179871,0.09818763216492021,0.0,0.7652605772018433,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.5829118737590572,0.5850748814482358,0.019496717648751882,0.4441167748067528,0.6003232131712138,0.5829118737590572,0.5850748814482358,0.019496717648751882,0.4441167748067528,0.6003232131712138
test_class_3_Outer_Race_Fault,0.76106933581418,0.7606787979602814,0.011839373238895275,0.7270979285240173,0.788246750831604,0.0005675641145428706,0.00046194405877031386,0.00042947547548743514,0.0001773592666722834,0.003945421427488327,0.8999999730751432,0.8999999761581421,3.917997687660664e-08,0.8999999165534973,0.9000000357627869,0.5963631526663385,0.4561972916126251,0.1757988609972936,0.0,0.7778279781341553,0.504915177822113,0.504915177822113,0.0,0.504915177822113,0.504915177822113,0.6121302822773377,0.5863955008091579,0.037377986264061476,0.4870173917443026,0.6559237646899418,0.6121302822773377,0.5863955008091579,0.037377986264061476,0.4870173917443026,0.6559237646899418
