split,mean,median,min,max,std
train,0.8692314624786377,0.9000006318092346,0.10000325739383698,1.0,0.22670365869998932
val,0.8142865300178528,0.9000003337860107,0.10000315308570862,1.0,0.29521629214286804
test,0.8142862319946289,0.8999999761581421,0.10000313073396683,1.0,0.2952161729335785
test_class_0_Normal,0.10000403970479965,0.10000398755073547,0.10000313073396683,0.10000486671924591,3.853086241178971e-07
test_class_1_Inner_Race_Fault,0.9999998807907104,0.9999999403953552,0.9999984502792358,1.0,1.668302758162099e-07
test_class_2_Ball_Fault,0.8999999761581421,0.8999999761581421,0.8999985456466675,0.9000013470649719,4.439681333678891e-07
test_class_3_Outer_Race_Fault,0.8999999761581421,0.8999999761581421,0.8999999165534973,0.9000000357627869,3.9179976596415145e-08
