epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.5568763613700867,0.3354472517967224,0.6977651119232178,0.8301229476928711
2,0.28298065066337585,0.15298856794834137,0.8752191066741943,0.9483606815338135
3,0.1601852923631668,0.1010095551609993,0.9378834366798401,0.9627048969268799
4,0.11935658752918243,0.1612725704908371,0.9543821215629578,0.9383196830749512
5,0.10253636538982391,0.11220532655715942,0.9609553217887878,0.9538934230804443
6,0.09035688638687134,0.0512426532804966,0.965403139591217,0.9807376861572266
7,0.07958163321018219,0.07947701215744019,0.9691060185432434,0.970696747303009
8,0.07734555006027222,0.04416172578930855,0.970705509185791,0.9840164184570312
9,0.06907175481319427,0.07070361822843552,0.974035918712616,0.9733606576919556
10,0.06360502541065216,0.055808912962675095,0.9752629399299622,0.9799180030822754
11,0.06074875220656395,0.0343935526907444,0.9773005843162537,0.9877049326896667
12,0.056265540421009064,0.03908470645546913,0.9784180521965027,0.9870901703834534
13,0.054120369255542755,0.032085809856653214,0.9802366495132446,0.9872950911521912
14,0.04853574559092522,0.0386333130300045,0.981507420539856,0.9865778684616089
15,0.0507388561964035,0.02664310671389103,0.9809597134590149,0.9897540807723999
16,0.04366174712777138,0.028746282681822777,0.9832602739334106,0.9890368580818176
17,0.045155979692935944,0.020279275253415108,0.9833917617797852,0.9925205111503601
18,0.04203405603766441,0.023219497874379158,0.984596848487854,0.99159836769104
19,0.03962641954421997,0.02900323085486889,0.9850350618362427,0.9885246157646179
20,0.040809743106365204,0.021942393854260445,0.9856485724449158,0.9909836053848267
21,0.03779233619570732,0.021207090467214584,0.9866345524787903,0.9913934469223022
22,0.035998161882162094,0.018953828141093254,0.9865906834602356,0.9917008280754089
23,0.03632017597556114,0.016761548817157745,0.9868097901344299,0.9936475157737732
24,0.032574739307165146,0.030390236526727676,0.9884312152862549,0.9894466996192932
25,0.031904567033052444,0.019338661804795265,0.9881682991981506,0.9923155903816223
